,zip_code,latitude,longitude,city,state,county,digit
12667,29624,34.51236,-82.708334,Anderson,SC,Anderson,2
12668,29625,34.468005,-82.685702,Anderson,SC,Anderson,2
12669,29626,34.415763,-82.705099,Anderson,SC,Anderson,2
12670,29627,34.492422,-82.56908299999999,Belton,SC,Anderson,2
12671,29628,34.191846000000005,-82.490284,Calhoun Falls,SC,Abbeville,2
12672,29630,34.744649,-82.797267,Central,SC,Pickens,2
12673,29631,34.75974,-82.802154,Clemson,SC,Pickens,2
12674,29632,34.847372,-82.710126,Clemson,SC,Pickens,2
12675,29633,34.847372,-82.710126,Clemson,SC,Pickens,2
12676,29634,34.847372,-82.710126,Clemson,SC,Pickens,2
12677,29635,35.078914000000005,-82.507625,Cleveland,SC,Greenville,2
12678,29636,34.849745,-82.453779,Conestee,SC,Greenville,2
12679,29638,34.330362,-82.33669300000001,Donalds,SC,Abbeville,2
12680,29639,34.326755,-82.430787,Due West,SC,Abbeville,2
12681,29640,34.843968,-82.643754,Easley,SC,Pickens,2
12682,29641,34.813542,-82.65306700000001,Easley,SC,Pickens,2
12683,29642,34.790129,-82.593723,Easley,SC,Pickens,2
12684,29643,34.542683000000004,-83.029707,Fair Play,SC,Oconee,2
12685,29644,34.65781,-82.2441,Fountain Inn,SC,Greenville,2
12686,29645,34.595310999999995,-82.114703,Gray Court,SC,Laurens,2
12687,29646,34.114209,-82.12830100000001,Greenwood,SC,Greenwood,2
12688,29647,34.178813,-82.163078,Greenwood,SC,Greenwood,2
12689,29648,34.21241,-82.168139,Greenwood,SC,Greenwood,2
12690,29649,34.290915999999996,-82.154473,Greenwood,SC,Greenwood,2
12691,29650,34.948738,-82.368415,Greer,SC,Greenville,2
12692,29651,34.962338,-82.330093,Greer,SC,Greenville,2
12693,29652,34.849745,-82.453779,Greer,SC,Greenville,2
12694,29653,34.274203,-82.21392,Hodges,SC,Greenwood,2
12695,29654,34.416329,-82.508821,Honea Path,SC,Anderson,2
12696,29655,34.420766,-82.60876800000001,Iva,SC,Anderson,2
12697,29656,34.625157,-82.765393,La France,SC,Anderson,2
12698,29657,34.783697,-82.70936999999999,Liberty,SC,Pickens,2
12699,29658,34.763442,-83.277599,Long Creek,SC,Oconee,2
12700,29659,34.221282,-82.63181,Lowndesville,SC,Abbeville,2
12701,29661,35.071605,-82.531215,Marietta,SC,Greenville,2
12702,29662,34.750238,-82.267062,Mauldin,SC,Greenville,2
12703,29664,34.856559999999995,-83.191276,Mountain Rest,SC,Oconee,2
12704,29665,34.724743,-82.910578,Newry,SC,Oconee,2
12705,29666,34.119292,-81.998485,Ninety Six,SC,Greenwood,2
12706,29667,34.764198,-82.76478,Norris,SC,Pickens,2
12707,29669,34.656799,-82.535325,Pelzer,SC,Anderson,2
12708,29670,34.608943,-82.597346,Pendleton,SC,Anderson,2
12709,29671,34.873784,-82.712484,Pickens,SC,Pickens,2
12710,29672,34.773984000000006,-82.945651,Seneca,SC,Oconee,2
12711,29673,34.72209,-82.392453,Piedmont,SC,Greenville,2
12712,29675,34.764076,-83.088332,Richland,SC,Oconee,2
12713,29676,34.866881,-82.97658,Salem,SC,Oconee,2
12714,29677,34.59755,-82.756844,Sandy Springs,SC,Anderson,2
